ser	ser/organismo
agência	empresa/organização_empresarial
véspera	jornada/dia
finalidade	meta/alvo/intenção/objectivo
custo	qualidade/preço/preços/qualidade/preço/preços
preparação	atividade/ocupação/condição/situação/estado
lucro	predominância/vantagem/benefício/bem/benefício
ameaça	ameaça/risco/perigo
cambial	locução/provérbio/ditado/idioma/expressão
sobrinho	parente
exceção	representante/instância/exemplo
corte	ferida/ferimento/lesão/assembléia/assembleia/autoridades/governo/regime/corte_de_cabelo/penteado/diminuição/redução
sócio	indivíduo/pessoa/alguém/ser_humano/alma
desempenho	demonstração/apresentação/acção/ação/atividade/ato
doença	enfermidade/doença
licença	licença/documento_oficial/negócio_jurídico
via	estrada/caminho/via
censura	deleção/deletamento/exclusão
preocupação	ansiedade/preocupação/ânsia/ansiedade/preocupação/ânsia/pensamento/idéia/conceito/opinião/interesse
passo	manobra
categoria	concepção/idéia/conceito/ideia/conexão/relação
verdade	realidade/realidade/afirmação/declaração
experiência	instrução/educação/experimento/teste/experiência_científica/experiência/herança/investigação_científica/projectos_de_investigação
moeda	moeda/cobre/dinheiro/moeda/divisa/sistema_monetário
agente	representante
mota	veículos_motorizados
inicial	letra/caractér/carácter/caracter
fraude	artimanha/astúcia
radical	indivíduo/pessoa/alguém/ser_humano/alma
restrição	confinamento/limitação/restrição/lei/regra/regulamento/norma
capacidade	volume/habilidade
resposta	resposta/afirmação/declaração
benefício	bem/benefício/bem
passagem	passagem/seção/parte
consumidor	usuário/utilizador/utente/consumidor
margem	limite/margem_interior/fronteira/borda/encosta/ladeira/subida/costa/declives/declive
aborto	abortação/aborto/abortamento/terminação/termino/conclusão
índice	lista/listagem/lista_numerada
instrutor	educador/educacionista/pedagogo
massa	corpo/mistura
máquina	motor/motores/maquinaria/máquina/equipamento/ferramenta/aparato/aparelho/mecanismo/dispositivo/instrumento
prado	prados_naturais/pradaria/prado/prados_naturais/pradaria/prado/terreno/campo
conhecimento	informação/conhecimento/habilidade/característica_psicológica
companheiro	conhecido/amiga/camarada/amizade/amigo
reportagem	artigo/notícias/notícia
vila	municipalidade/município/comunidade
extensão	adiamento/pausa/demora/extensão/alcance/extensão/alcance/grandeza/número/magnitude/grandeza/número/magnitude
bispo	clérigo/sacerdote/presbítero/padre/pastor
modificação	ocorrente/acontecimento/ocorrência
aspecto	qualidade/aspecto/aparência/semblante
teto	proteção/capa
residência	endereço/alojamento/abrigo/casa
realidade	realidade/realidade/experiência
diferença	número
norma	padrões/critério/estatística/concepção/idéia/conceito/ideia
consulta	conferência
embarcação	navio
transação	transação/ação_em_grupo
entrada	encargo/remuneração/custo/taxa/estipêndio/recompensa/pagamento/mensagem/assunto/tópico/conteúdo/caminho/rodovia/via/estrada/caminho/acesso/estrada/abordagens
ética	filosofia
transmissão	mensagem/marcha/engrenagem
maneira	efetuação/execução/realização/implementação
defensor	indivíduo/pessoa/alguém/ser_humano/alma
turismo	industria/comércio/negócio/empresa
zona	desordem/bagunça/região/área
paz	paz/silêncio/quietude/paz/silêncio/quietude
composição	propriedade/atributo
atenção	faculdade/talento
punição	penalidade/penalização/castigo/punição/controle_social
escândalo	problema
tratamento	gestão/administração
tarefa	projeto/tarefa/trabalho/tarefa
independência	independência/liberdade
expressão	idioma
equipamento	apetrecho/equipamento/instrumento/equipamento/ferramenta
caminho	fronteira/fronteira/estrada/caminho/via/estrada/caminho/via/caminho/rodovia/via/estrada/efetuação/execução/realização/implementação/trâmite/curso_de_ação/conduta/curso/caminho/corrente/acção/ação/atividade/ato
perspectiva	orientação
incentivo	motivo_racional
fronteira	limite/margem_interior/fronteira/borda/limite/fronteira/fronteiras/limite/fronteira/fronteiras/limite/fronteira/fronteiras
acesso	direito/direito
reconhecimento	aceitação/aceitação/aplauso/aprovação
câmbio	ação_em_grupo
perda	custo
aproximação	cálculo
mensagem	comunicação/mensagem/idéia_abstrata/entidade_abstrata/abstração
semestre	período
aviso	anúncio/aviso/comunicação/anúncio/aviso
aluno	estudante/indivíduo/pessoa/alguém/ser_humano/alma/indivíduo/pessoa/alguém/ser_humano/alma
discriminação	controle_social
sangue	fluidos_corporais/fluidos_corporais
contexto	ambiente
sugestão	proposta/evidência/indicação
confiança	dependência/território_dependente/segurança
caixa	recipiente/contentor/contêiner/recipiente/contentor/contêiner/caixa
risco	empreendimento_de_risco
exame	comunicado/comunicação/uma_comunicação/investigação
imagem	afiguração/imagem/ilustração/figura/desenho/representação/afiguração/imagem/ilustração/figura/desenho/representação/afiguração/imagem/ilustração/figura/desenho/representação
clima	fenômeno_meteorológico/tempo/condições_meteorológicas/clima/fenômeno_atmosférico
bicho	ser/organismo
bandeira	estandarte/pendão/bandeira/bandeira/pavilhão/emblema/naipe/emblema/naipe
navio	navio
doutrina	crença/opinião/fé/convicção
prova	argumento/evidência/experimento/teste/experiência_científica/experiência
alvo	referência/objecto_mental
rosa	arvoreta/arbusto/moita/mato/arvoreta/arbusto/moita/mato
fábrica	planta/fábrica/usina
definição	explicação/explanação
água	líquido
palavra	promessa/vocábulo/termo/verbo/palavra/unidade_da_linguagem/unidade_linguística
vigor	força/violência
seminário	curso/aula/curso/aula
mecanismo	equipamento/ferramenta/aparato/aparelho/mecanismo/dispositivo/instrumento
figura	afiguração/imagem/ilustração/figura/desenho/representação/afiguração/imagem/ilustração/figura/desenho/representação
competência	habilidade/habilidade
natureza	universo/cosmo/criação/mundo/qualidade/causa/causador
torres	estrutura/tecido/edifício
geração	pessoal/população/povo/gente
propósito	meta/alvo/intenção/objectivo/utilidade
cooperação	hábito/costume
carteira	recipiente/contentor/contêiner
resolução	decisão/tomada_de_decisão/decisão/resolução
consumo	demanda/pedido/função_corporal/atividade
comerciante	negociante/comerciante/mercador/negociante/comerciante/mercador/empresário/empresário
vítima	infortunado/desventurado/desafortunado
criança	descendente/descendência/filho
noite	jornada/dia/tempo/etapa/período
vencedor	competidor/contendor
filosofia	artes_liberais/artes_liberais/ciências_humanas/crença/opinião/fé/convicção
fator	causa
tio	parente
termo	afirmação/declaração/vocábulo/termo/verbo/palavra/unidade_da_linguagem/unidade_linguística
regra	instrução/lei_da_natureza/lei/concepção/idéia/conceito/ideia/processo/procedimento
eixo	mecanismo
integração	ação_em_grupo
concentração	concentração/atenção/faculdade/talento/densidade/propriedade/atributo
utilização	utilização/uso
tensão	tensão/nervosismo/inimizade/hostilidade/estado/estado/situação/condição
cobertura	cobertura/capa
marcha	género_musical/gênero_musical/mecanismo/treinamento/preparação/treino/romaria/procissão
instrução	objecto_mental/herança/atividade/ocupação
face	superfície
sítio	gleba/terreno/região/oficina/laboratório/emprego/locais_de_trabalho/trabalho/calculadora/computador/bloqueio
primo	parente
memória	representação/conceitualização/representação_mental/faculdade/talento/hardware
ferro	metais/metais/metal/metais/metais/metal
pensamento	objecto_mental
escritor	comunicador
minoria	número
autorização	aplauso/aprovação
circulação	acúmulo/aglomeração/colecção/coleção
cidadão	súdito/cidadão
página	folhas/folha
evento	ocorrente/acontecimento/ocorrência
parlamento	assembléia_legislativa/legislatura/poder_legislativo
fórmula	afirmação/declaração/processo/procedimento
valorização	classificação/categorização
avaliação	classificação/categorização
tarifa	taxa/custo/preço
infra-estrutura	estrutura/arquitectura/arquitectura_do_computador/artefato
opção	decisão/tomada_de_decisão
desvio	processo_natural/ação/atividade
eleitor	cidadão/cidadã
deus	ser_sobrenatural/espirito/ser_sobrenatural/espirito
notícias	informação/informação/programa/emissão
cenário	envolvente/entorno/ambiente/meio/cerque/premissa/pressuposto
determinação	firmeza
século	tempo/etapa/período/tempo/etapa/período/tempo/etapa/período
eleitorado	população/povo/gente
cuba	vaso/vasilha/vasilhame
apresentação	informação/apresentação/demonstração/apresentação
conquista	acção/ação/atividade/ato
padre	sacerdote/pastor/pároco/clérigo
cúpula	reunião/telhado/teto
impacto	consequência/conseqüência/resultado/fim/efeito/toque
empreendimento	distrito/território/domínio/comarca/districto/circunscrição/circunscrição_administrativa
tesouro	acúmulo/aglomeração/colecção/coleção
opositor	indivíduo/pessoa/alguém/ser_humano/alma
capítulo	seção/parte
recuperação	curação/ato/ação/feito/acção
personalidade	personalidade/temperamento/pessoa/propriedade/característica/atributo/predicado
manobra	programa/atividade/ocupação
seguro	proteção/abrigo/recompensa/pagamento
renovação	melhoria/melhora
ocupação	ofício/trabalho/serviço/emprego/função/lugar/profissão/ocupação/ofício/trabalho/serviço/emprego/função/lugar/profissão/ocupação/atividade/ocupação
exílio	proscrição/banimento
fazendeiro	criativo/creador/criador
delfim	odontoceti/odontocetos
ajuda	doação/presente/dádiva/brinde/dom/auxílio/socorro/ajuda/assistência/atividade/ocupação
juventude	período_da_vida/época/período/coorte
cisão	divisão
armada	serviço_militar
minorias	número
choque	reflexos/reflexo
catedrático	professor/acadêmico/professor_universitário
prédio	estrutura/tecido/edifício
império	monarquia/empresas/corporação
bairro	bairro/vizinhança
programação	pensamento/idéia/conceito/opinião
periódico	jornal/imprensa/jornalismo
doce	prato
alternativa	decisão/tomada_de_decisão
mesquita	igreja/casadeoração/lugares_de_prática_religiosa/templo/igreja/casadeoração/lugares_de_prática_religiosa/templo
avião	navio
ausência	necessidade/carência/falta
marinho	azul
balanço	igualdade/brinquedo/aparelho_mecânico
prejuízo	custo/alteração/mudança/variação/modificação
canal	massa_de_água/água/corpo_de_água/emissora_de_televisão/canal_de_televisão/emissora_de_televisão
direita	lugar/local/posição/seita/facção
acidente	acidente/azar/acidente/ocorrente/acontecimento/ocorrência
versão	interpretação/material_escrito/documentos/género/classe/espécie/tipo/variedade
contabilidade	extrato
madrugada	hora
aliado	associado/nação/república/país
introdução	livro_didático/livro_de_texto/apostila/livro_texto/sebenta/compêndio/texto/livro_didático/seção/parte
referência	anotação/nota/apontamento/publicação/edição
comemoração	reconhecimento/crédito
colega	associado
postura	atitude
rodovia	estrada/caminho/via/auto-estrada/autoestradas/estrada/rodovia
melhoria	estado/estado/situação/condição/componente/parte
transição	transmutação/mudança/transformação
tortura	angústia/dor/dor/perseguição
peru	aves_de_capoeira/aves_domésticas/ave_doméstica/galinha/carne_de_ave
participante	associado/competidor/contendor
busca	pesquisa/investigação/busca/procurar/buscar
volume	propriedades_acústicas/quantitativo/quantidade/medida/quantia
suicídio	morte/homicídio/assassinato
tramitação	debate/discussão
expectativa	esperança/crença/opinião/fé/convicção
concorrência	ação_em_grupo
profissão	ofício/trabalho/serviço/emprego/função/lugar/profissão/ocupação/ofício/trabalho/serviço/emprego/função/lugar/profissão/ocupação/ofício/trabalho/serviço/emprego/função/lugar/profissão/ocupação/atividade/ocupação
demanda	apelo/solicitação/petição/abaixo-assinado/requisição/requerimento/postulação
avô	avó/avós/avô
confronto	discordância/discórdia/condição/situação/estado
visão	orientação/imaginação/imaginação
honra	justiça/honestidade
cirurgia	medicina/ciências_médicas
ciclo	repetição
abuso	desrespeito/maltrato
segmento	parte/porção
ilha	relevo_(geografia)/chão/terra_firme/terra/relevo/solo
vantagem	qualidade
tradição	hábito/costume/tradições/costumes/tradição
argumento	estória/conto/história
método	habilidade/habilidade
habitação	alojamento/abrigo/casa/aposento/habitação/moradia/residência/casa/lar/morada/domicílio/edifício/prédio
emissão	espectáculo/show
rebelião	luta/conflito
depósito	capital/fundo/colocação/depósito/matéria/substância
cabo	cabo/corda/toa/barra/linha/fio/corda
editora	empresas
medalha	prémio/prémio/prêmio/prêmios/galardão
veículo	veículos_motorizados/meios_de_transporte/modo_de_transporte/veículo
assassinato	homicídio
empregador	chefe/líder
mãe	genitor/mãe/pai/progenitor/genitor
auxílio	atividade/ocupação
hierarquia	classe/condição/posição/status/estado/organização
proposição	proposta/atos_da_fala/acto_de_fala/afirmação/declaração
filiação	ligação/relação
apelo	mensagem/assunto/tópico/conteúdo/apelo/solicitação/petição/abaixo-assinado/requisição/requerimento/postulação
casamento	estado_civil/família/cerimónia/cerimônia/festa/promessa/rito/ritual
verde	conservacionista/ambientalista
leilão	venda
objeto	entidade_física
diplomata	servidor_público/funcionário/serventuário
parceria	contrato/acordo
correção	melhoria/melhoramento
agricultor	criativo/creador/criador
pacto	pacto/acordo
característica	característica/carácter_distintivo/qualidade/propriedade/atributo/concepção/idéia/conceito/ideia/qualidade
disciplina	base_de_conhecimento/saber/conhecimento
mineral	materiais
evolução	processos_biológicos/processos_biológicos
instância	urgência/ocorrente/acontecimento/ocorrência/informação/conhecimento
jurista	profissional_liberal/profissional/servidor_público/funcionário/serventuário/juiz/árbitro/adjudicator
incidente	ocorrente/acontecimento/ocorrência
voz	habilidade_física
ensaio	ensaio/ensaios/material_escrito/documentos/experimento/teste/experiência_científica/experiência/exercício/prática
conteúdo	volume/coisa
condenação	decisão_final
pecuária	mamífero_placental/mamífero/cultivo
hipótese	opinião/concepção/idéia/conceito/ideia
comarca	regiões/região
parcela	divisão/repartição
interferência	política_externa/política_externa
inimigo	inimigo/opositor/antagonista/adversário/pessoal/população/povo/gente/indivíduo/pessoa/alguém/ser_humano/alma
teologia	campo/domínio/disciplina
guarda	security_office/guarda/guardião/protetor/defensor/guarda/destacamento
retirada	abjuração
falecimento	alteração/mudança/variação/modificação
aniversário	aniversário/dia
prêmio	doação/presente/dádiva/brinde/dom/prémio/prémio/prêmio/prêmios/galardão
esfera	ambiente/esfera/forma_redonda
pretensão	anseio/apetite/pretensão/desejo/impressão/emoção/sentimento
mata	relevo_(geografia)/chão/terra_firme/terra/relevo/solo/bioma/bioma/biomas
inspetor	investigador
nacionalismo	lealdade
colocação	atividade/ocupação
cobrança	apelo/solicitação/petição/abaixo-assinado/requisição/requerimento/postulação
preferência	afeição/predisposição/tendência
pensão	atribuição/pensão
patrimônio	possessão/propriedade
exposição	acúmulo/aglomeração/colecção/coleção/vulnerabilidade/debilidade/vulnerabilidade/apresentação/exibição
estágio	tempo/etapa/período
estação	tempo/etapa/período
repórter	comunicador
cadeia	empresa/organização_empresarial/limitação/restrição/ligamento
tráfico	comércio/mercantilismo/comercialismo
porta-voz	representante/porta-voz/proponente/representante/advogado/defensor
dúvida	precariedade/incerteza
documentação	material_escrito/documentos/validação/verificação
terreno	gleba/terreno/região
consenso	consenso/acordo/acordo/paz/harmonia/concórdia/conformidade/aplauso/aprovação
combustível	substância
mina	buracos_escavados
carga	navio_cargueiro/cargueiro
literatura	material_escrito/documentos
concepção	pensamento/idéia/conceito/opinião/criatividade/criatividade/transa/sexo
monte	elevação/elevação/massa/acúmulo/aglomeração/colecção/coleção
cerimônia	acontecimento/festa
publicidade	anúncio/propaganda/publicidade/promoção/mensagem/assunto/tópico/conteúdo
promessa	atos_da_fala/acto_de_fala/afirmação/declaração
observador	espectador/observador/indivíduo/pessoa/alguém/ser_humano/alma
esperança	expectativa/impressão/emoção/sentimento
destino	estado/final/fim
sinal	recompensa/pagamento/sinal/defeito/mudança/comunicação/mensagem/comunicação/mensagem
tratado	tratado
açúcar	adoçante
gerente	líder/responsável/cabeça/chefe/liderança/gerente/administrador
província	divisão_territorial/divisão_administrativa/distrito_administrativo
ponta	convexidade/final/fim
duração	tempo/etapa/período
voluntário	trabalhador
tática	programa
obstáculo	dificuldade/obstáculo/problema/obstrução/impedimento/obstáculo/obstrução/impedimento/obstáculo
concreto	piso/material_de_construção/materiais_de_construção
altura	altura/altitude/propriedades_acústicas
requerimento	mensagem/assunto/tópico/conteúdo
pacote	acúmulo/aglomeração/colecção/coleção/recipiente/pacote/embalagem/recipiente/pacote/embalagem/pacote/fardo/molho/feixe/penca
ar	gás/gás/estado/estado/situação/condição
equilíbrio	equilíbrio/situação/condição/posição/espaçamento
acionista	investidor
ênfase	importância
simpatia	tendência
parágrafo	material_escrito/documentos
diálogo	diálogo/conversa/conversação/conversa/roteiro/script/guião
círculo	oval/elipse
administrador	líder/responsável/cabeça/chefe/liderança/líder/responsável/cabeça/chefe/liderança/gerente/administrador
domínio	domínio/esfera/ascendencia/controle/dominancia/superioridade/domínio/ascendencia/controle/dominancia/superioridade/domínio/ambiente/estado/estado/situação/condição/regiões/região/base_de_conhecimento/saber/conhecimento
atrito	confronto/recontro/conflito
dependência	dependência/território_dependente
comportamento	jeito_pessoal/maneira_pessoal/atividade/ocupação
química	materiais/ciências_físicas/ciências_naturais/ciência
passado	tempo
chegada	ocorrente/acontecimento/ocorrência
letra	grafema/letra
desemprego	condição/situação/estado
ocupante	habitante/morador
lobo	cão/canídeo
extremo	grau
preservação	estado/estado/situação/condição
parente	indivíduo/pessoa/alguém/ser_humano/alma
gráfico	comunicação_visual/comunicação_visual/comunicação_visual/comunicação_visual/mapa
recusa	negação
padrão	padrões/critério/padrões/critério/exemplo/modelo/alternativa/opção/escolha/intercorrência/eleição
antecipação	esperança
antecessor	parente
conto	falsidade/mentira/história
álcool	bebida
ideologia	orientação
tiro	impulsão/propulsão
horário	intervalo_de_tempo/tempo/intervalo/programa/horário/cronograma/agenda/lista/listagem/lista_numerada
geografia	ciências_da_terra
espécie	táxon/taxón/taxon/taxon/táxon/taxón/taxon/taxon
esporte	recreaçao/diversão
tributo	imposto/aplauso/aprovação
ramo	caule/tronco
fornecimento	atividade/ocupação
infância	período_da_vida/época/período/período_da_vida/época/período
erro	imperfeição/defeito/engano/mal-entendido/falha/insucesso
aeroporto	aeroporto/aeródromo
docente	educador/educacionista/pedagogo
sociologia	ciências_sociais/ciências_sociais
batalha	ação_em_grupo/luta/conflito/batalha/combate/empenho/esforço
pauta	lista/listagem/lista_numerada
lago	lago/massa_de_água/água/corpo_de_água
diploma	prémio/prémio/prêmio/prêmios/galardão
carvão	combustível_fóssil/petróleo
barra	suporte/encosto/apoio/instrumento/ferramenta/implemento
solicitação	mensagem/assunto/tópico/conteúdo/apelo/solicitação/petição/abaixo-assinado/requisição/requerimento/postulação
dono	grande_fazendeiro/proprietário_de_terras/homemdenegócios/homem_de_negócios/empresário/negociante/comerciante
armamento	aparelho/ferramenta/instrumento
fileira	bicha
arte	talento/habilidade/meta/técnica/criação/ofício/trabalho/serviço/emprego/função/lugar/profissão/ocupação
ambulância	auto/veículo/carro/automóvel/viatura
adiar	ociosidade
treinamento	atividade/ocupação
restauração	melhoria/melhora
restante	porção/parte/componente/categoria
ouro	metal_nobre
divisa	moeda/cobre/dinheiro/moeda/divisa/sistema_monetário
senhora	mulher
agenda	lista/listagem/lista_numerada/lista/listagem/lista_numerada
pesar	mágoa/pesar/tristeza/desgosto/dor/tristeza/pesar
perigo	estado/estado/situação/condição/empreendimento_de_risco
aula	reunião/ensino/educação/pedagogia/pedagogia/ensino/formação/educação/didáctica/ensinamento/instrução
potencial	possibilidade/chance
ponte	estrutura/tecido/edifício
diários	material_escrito/documentos
vontade	faculdade/talento
seguros	proteção/abrigo
duque	lorde/nobre
afirmação	atos_da_fala/acto_de_fala/asserção
estilo	instrução/elegância
teoria	opinião/suposição/possibilidade/hipótese/teoria/concepção/idéia/conceito/ideia
estatística	matemática_aplicada/matemática_aplicada/matemática_aplicada/matemática_aplicada
congressista	legislador
insurreição	luta/conflito
circunstância	ambiente/informação/conhecimento
passeata	romaria/procissão
inspiração	intuição
amizade	ligação/relação/indivíduo/pessoa/alguém/ser_humano/alma
peça	moeda/parte/porção
ferrovia	via
conversa	debate/discussão/diálogo/conversa/conversação/conversa/idioma
consciência	moralidade/moral/ética/morais
teatro	comunicado/comunicação/uma_comunicação/palanque/tribuna/tablado
bem-estar	prosperidade/sucesso/saúde/eudemonismo/bem-estar
palestra	discurso
especialista	intelectual/intelecto/especialista/indivíduo/pessoa/alguém/ser_humano/alma
progresso	desenvolvimento
onda	movimento
média	estatística
foro	reunião/documento/documentação
conversação	diálogo/conversa/idioma
algodão	pano/tecido/fazenda/têxteis/tecido_têxtil
aparelho	equipamento/ferramenta/equipamento/ferramenta/aparato/aparelho/mecanismo/dispositivo/instrumento
anúncio	anúncio/propaganda/publicidade/promoção/comunicação/anúncio/aviso/afirmação/declaração/mensagem/assunto/tópico/conteúdo
doação	aquisição/doação/doação
cachoeira	massa_de_água/água/corpo_de_água
alimento	substância
pastor	sacerdote/pastor/pároco/clérigo
começo	momento/instante/componente
trecho	passagem
peso	unidade/medida/unidade_de_medida/medição/propriedades_físicas/propriedade_física/equipamento_de_esportes/equipamento_esportivo
arquitetura	belas_artes/campo/domínio/disciplina
procedimento	procedimento_legal/procedimento_legal/atividade/ocupação
parque	gleba/terreno/região
igual	indivíduo/pessoa/alguém/ser_humano/alma
bomba	equipamento_militar/arma/armamento/munição/aparelho_mecânico
edifício	estrutura/tecido/edifício/artefato
aspiração	anseio/apetite/pretensão/desejo/disposição
morto	objeto_natural/objeto_natural
faixa	caminho/estrada/trilha/decoração/ornamento
ritmo	ritmo/velocidade/tacto
leão	grande_felino/gato
doutor	erudito/especialista/acadêmico/estudioso/médico
carro	veículos_motorizados
sentimento	intuição/impressão/emoção/sentimento/impressão/emoção/sentimento
relacionamento	condição/situação/estado
flor	angiospérmica/angiosperma
escala	padrões/critério
diminuição	alteração/mudança/variação/modificação/mudança_de_magnitude
capitalismo	economia_de_mercado/economia_de_mercado
bolsa	apoio_financeiro/ajuda_financeira/ajuda/recipiente/contentor/contêiner
riqueza	recurso_material/recurso_material
quantidade	concepção/idéia/conceito/ideia
princesa	patrício/aristocrata/patrício/aristocrata
esposo	esposa/esposo/marido/cônjuge/cónjuge/consorte/parente/cara-metade
empresas	empresa/organização_empresarial
poesia	género_literário/gêneros_literários/gênero_literário
futebol	jogo_de_futebol/futebol
marinheiro	trabalhador_especializado
desejo	anseio/apetite/pretensão/desejo/impressão/emoção/sentimento
trigo	cereais/cereal
assalto	furto/roubo/ataque/atentado/assalto/assalto
artista	intérprete/criativo/creador/criador
desafio	situação/condição/pergunta/questão/inquérito
casal	estado_civil/par/dupla/família
sindicância	inquérito/investigação/pesquisa
palmeira	árvore
imigração	migração
fórum	reunião
fruto	fruta
consequência	fenômeno/fenómeno
atraso	ociosidade
imunidade	renúncia/desistência
droga	agente
avenida	avenida/rua
romance	literatura/ficcionismo/ficção/ficção
marido	esposa/esposo/marido/cônjuge/cónjuge/consorte/parente/cara-metade
sentença	processo_legal/devido_processo_legal
ofício	ofício/trabalho/serviço/emprego/função/lugar/profissão/ocupação/atividade/ocupação
ofensiva	manobra/operação
multa	intimação
irmã	irmã
regulamento	concepção/idéia/conceito/ideia
mar	mês_no_calendário_gregoriano
guerrilha	guerreiro
comentário	afirmação/declaração/observação/percepção
sindicalismo	organização
cota	arrendamento_de_terras/alocação/atribuição
cheque	letra_de_câmbio/cheque
proclamação	afirmação/declaração
litoral	orla/litoral/costa
cédula	documento/documentação
camada	região/cobertura/capa
língua	linguagem/discurso/idioma/língua/órgão_biologico/órgão/comunicação/mensagem
descoberta	lampejo/epifania/insight
aceitação	aprovaçã0/aprovação
recomendação	proposta/loa/glória/louvor/elogio/recomendação
proporção	quociente/relação_de_grandeza/grandeza/número/magnitude/posição/espaçamento
projeção	comunicação_visual/comunicação_visual
cálculo	solução_de_problemas/preparação/planejamento
bispos	clérigo/sacerdote/presbítero/padre/pastor
porta	abertura
humanidade	qualidade
perfil	perfil
liquidação	ocasião/chance/vez
falência	insolvência/procedimento_legal/procedimento_legal
máximo	máximo
feira	reunião/mercado/feira/apresentação/exibição
suspeito	litigante/indivíduo/pessoa/alguém/ser_humano/alma
secretária	servidor/criado/assistente/ajudante/mesa
sanção	aplauso/aprovação
vara	barra/instrumento/ferramenta/implemento
dimensão	grandeza/número/magnitude/grandeza/número/magnitude/grandeza/número/magnitude
deliberação	preparação/planejamento
rejeição	ato/ação/feito/acção
terrorista	radical
férias	tempos_livres/ócio/lazer
compensação	retificação/correção/retificação/correção
urgência	crise
jazida	área/região/território/ambiente
incumbência	obrigação/dever
hostilidade	acção/ação/atividade/ato/condição/situação/estado
automóvel	veículos_motorizados
jardim	terreno/campo/cobertura_vegetal/flora/vegetação
estoque	mercadoria/artigo/produto
acusado	litigante
esposa	mulher/esposa/esposo/marido/cônjuge/cónjuge/consorte/parente/cara-metade
chamada	vocalização/enunciado/expressão
justificativa	consideração/circunstância
domingo	feriado
previsão	prognóstico/previsão/predição/previsão/antecipação
cinema	espectáculo/show/meios_de_comunicação/mídia/teatro/casa/bens/produção/produto
assento	região_de_espaço/assento/cadeira/mobiliário/alfaia/movéis/móvel/mobília
cerco	bloqueio
vizinho	indivíduo/pessoa/alguém/ser_humano/alma
mão-de-obra	trabalho/tarefa
floresta	relevo_(geografia)/chão/terra_firme/terra/relevo/solo/bioma/bioma/biomas/locação/ponto/lugar/localização
aço	liga_metálica/ligas_metálicas/liga/ligas_metálicas
adolescente	menor/juvenil/jovem
ônibus	transporte_público/transportes_públicos/transportes_públicos/transporte_publico
passageiro	turista/viajante
misericórdia	misericórdia/compaixão/piedade/leniência
contemporâneo	igual/pário/par
seleção	miscelanea/potpourri/mistura/encepamento
nacionalidade	classe/condição/posição/status/estado/classe/condição/posição/status/estado
violação	delito/transgressão
recessão	crise
praia	formação/formação_geológica
mestre	educador/educacionista/pedagogo/artista
contradição	falsidade/mentira
rumor	fofoca/bisbolhetice/bisbilhotice
interpretação	demonstração/apresentação
pesquisador	cientista
ocorrência	ocorrente/acontecimento/ocorrência
submarino	sanduíches/sanduiche/sanduíche/sandes
posicionamento	atividade/ocupação
contestação	concorrência/competição
partida	certame/partida/concurso/competição/torneio/jogo/partida/ato/ação/feito/acção
manchete	encabeçamento
desconfiança	dúvida/incerteza
par	reunião/indivíduo/pessoa/alguém/ser_humano/alma
crônica	registro
banda	selecção/seleção/gama/decoração/ornamento
marketing	comércio/mercantilismo/comercialismo/comércio/mercantilismo/comercialismo
marca	defeito
jurisdição	poder
indício	evidência/indicação/comunicação/mensagem
zero	algarismo/dígito/número
tom	atmosfera/ar/ambiência/fala/notacao_musical/notação_musical/notação_musical/propriedades_acústicas
terras	imobiliária/imóvel/chácara/granja/quinta/sítio/fazenda
resto	porção/parte/componente/categoria/comida
minuto	unidades_de_tempo/unidade_de_tempo
baixa	vítima
alfabetização	talento/habilidade/meta/técnica
seio	glândula_mamária/glândula_mamária/anatomia/parte_do_corpo
pobreza	miséria/pobreza/pobreza/empobrecimento
impressão	aspecto/aparência/semblante/arte_gráfica
fenômeno	processos_físicos
correspondência	transporte/transferência
réu	litigante
laço	ornato/ornamento/decoração/adorno
conduta	atividade/ocupação/acção/ação/atividade/ato
identificação	evidência/indicação
fome	deficiência/escassez/carência/falta/ausência
convicção	crença/opinião/fé/convicção/objecto_mental
alcance	fase/grau/nível/ápice/extensão/alcance
piloto	piloto/aviador/aviatriz/aviadora/aeronauta/piloto-aviador
gravidade	atração/seriedade
molde	exemplo/modelo
impulso	força/violência/força/violência
identidade	semelhança/similardidade/personalidade/temperamento/pessoa
facilidade	habilidade
descendente	parente
contador	empresário
psicologia	disciplina_cientifica/ciência
inovação	criatividade/criatividade/criação
explicação	atos_da_fala/acto_de_fala/afirmação/declaração
componente	porção/parte/componente/categoria/parte/porção/componente/parte/conexão/relação
regiões	locação/ponto/lugar/localização
demarcação	diferenciação
baixada	depressão
analista	psiquiatra/encolhimento
obrigação	controle_social/trabalho/tarefa
divórcio	separação
agressão	acção/ação/atividade/ato
demonstração	comunicação_visual/comunicação_visual/argumento
boto	odontoceti/odontocetos
miséria	miséria/pobreza/pobreza/empobrecimento
mercadoria	objecto_posto_à_venda/fazenda/bens/bem/produto/artigo/mercadoria
especulação	opinião
barreira	mecanismo/barreira/obstáculo
vôo	excursão
solo	solo/atividade/ocupação/objeto/objeto_físico
safra	rendimento
madeira	material_de_construção/materiais_de_construção
freqüência	ritmo/velocidade
trânsito	acúmulo/aglomeração/colecção/coleção/acúmulo/aglomeração/colecção/coleção/comércio/mercantilismo/comercialismo
símbolo	aceno/emblema/símbolos/símbolo/sinal/simbolo/sinal
satélite	satélites/satélite/equipamento/ferramenta
