sânscrito	Agni/Ayurveda
aritmética	multiplicar/deduzir/dividir/subestimar/recalcular/elevar/cubar/adicionar/somar
Biologia_Molecular	gene/guen
lei	residual/proibição/processual/prescrição/advogar/consensual/indevido/Direito_público/probatório/hereditário/maior/direito_público/substancial/pleitear/patrimonial/substantivo/jurisconsulto/justiça/Justiça/injunção/fungível/voto/sufrágio/sentenciar/amaldiçoar/rapto/testamento/Direito_internacional/título/Liberdade_de_expressão/liberdade_de_expressão/interdição/legalização/Adoção/adoção/premeditação/testemunhar/inválido/nulo/judiciário/condenação/conúbio/casamento/matrimônio/amnistia/legislador/Legislador/Procurador_Geral_da_República/procurador-geral_da_República/conspiração/argüido/réu/ré/quitação/Federal_Bureau_of_Investigation/Federal_bureau_of_investigation/FBI/contrariedade/moléstia/incômodo/pertubação/dolo/querelante/libelo/apelar/perdão/litigante/recusar/Curador/protocolar/registrar/condicional/projecto_de_lei/apelo/apelação/ditame/sentença/verificar/habeas_corpus/casa/patrimônio/passaporte/estatuto/Intimação/contratador/desapropriação/advocacia/direito/rescisão/vigência/vigor/revogação/Liberdade_de_reunião/Delinquência_juvenil/filiar/legado/barrister/Direito_Marítimo/Direito_do_mar/tribunal/corte/procuração/alienável/arbitragem/legislação/derivativo/testemunha/depoimento/liberdade_de_imprensa/provar/atestar/lei_marcial/Lei_Marcial/intimação/citação/licença/juízo/Direito_comercial/atenuar/remediar/mitigar/paliar/procurador/direito_administrativo/liberdade_religiosa/usufruto/Liberdades_civis/apresentar/entregar/alegação/veredito/advogada/advogado/jurista/condenar/sistema_eleitoral/pleito/legitimação/preempção/direitos_do_cidadão/preferir/juiz_de_paz/Juiz_de_Paz/declaração/bancarrota/Direito_civil/direito_civil/registro/estado_civil/coima/causa/processo/divórcio/encarceramento/promotor_de_justiça/escusar/perdoar/tabelião/notário/jurisdição/mandato/mandado/decreto/Constituição/constituição/common_law/Common_Law/julgamento/contestar/cliente/anistiar/prender/encarcerar/aprisionar/direito_penal/direito_criminal/privilégio
Esgrima	florete/impulso
besta	verruga/olfato/rastreio/rastreamento/gregário/social/pastar/desossar/crescido/maior/adulto/microorganismo/microrganismo/domar/domesticar/corpo_humano/corpo/cadáver/rede
Imunologia	polivalente/afinidade/antigénio
comercialismo	traficar/tramitar/transacionar/intermediar/contrabandear/revender/empenhar/vender/licitar/leiloar/comprar/atingir/adquirir/importar/abastecer/estocar/armazenar/saldar/franquiar/privilegiar/comercializar
acústica	refletir
ensino	Ministerio_da_Educação/pedagogia/Educação/educação
Física	transiente/transformar/atrativo/aerodinâmico/supersimetria/tensão/polarizar/idêntico/desmagnetizar/entusiasmado/fluxo/colisão/átomo/gravitação/desaceleração/metaestável/desintegrar/lápis/hidrodinâmico/dinâmico/inércia/quark/gravidade/nuclear/magnético/métrica/atractor/reactor/eletrificar/eletrizar/luz/absorção/Absorção/energia/decair/dividir/quantum/dualidade/difusão/oscilação/potência/Potência/Pertubação/íman/magnete/liquidificar/liquefazer/paridade/molécula/cristalizar/gelar/congelar/solidificar
râguebi	canelar/ponteiro
beisebol	roubar/assistência/coletor/receptor/apanhador/bater/batedor/arremesso/batida/jogada/turno/erro/apanhar/capturar
oceanos	litoral/ribanceira/orla/oceano/água
Historia	crônica/crónica
psiquiatria	analisar/confabulação/Autismo/confabular/autismo/regressão/expansivo/suprimir/negação/angústia
teologia	venial/purgatório/procissão/mortal/predestinar/revelar/salvação/redenção
microrganismo	Virulência/virulência
Idade_Média	trivium/Isolda/cota_de_malha/Iluminura/escravo/Cota_de_malha/Titania/Titânia
oftalmologia	miopia
acordo	brecha/guardado/cláusula/renegociar
droga	de_viva_voz/oralmente/potencializar
Comunhão_Anglicana	pároco/bispo
governação	reforma_agrária/unitário/federal/Reforma_Agrária/federativo/paternalismo/ciência_política/política/recompensa/poder/ofício/cargo/governo/regime/manifesto/pronunciamento/progressista/anarquia
zoologia	colonial/canino/cloaca/metabólico/ovíparo/invertebrado/vertebrado/naturalista
Educação	Ministerio_da_Educação/pedagogia/educação/ensino
homem	corpo_humano/corpo/cadáver
governo	reforma_agrária/unitário/federal/Reforma_Agrária/federativo/paternalismo/ciência_política/política/recompensa/poder/ofício/cargo/regime/manifesto/pronunciamento/progressista/anarquia
Gramática	optativo/nominal/objeto/decompor/descritivo/infinito/interrogativo/qualificar/finito/reflexivo/intransitivo/acusativo/normativo/indicativo/futuro/nominativo/transitivo/sujeito/analisar/modificar/Sujeito/cláusula/oração
mineralogia	geode/gémeos
matemática	disjunto/provar/Geometria_Euclidiana/convergir/geodésica/geometria_analítica/álgebra_linear/racional/fractal/contínuo/analítico/subgrupo/raio/irracional/geodésico/invariante/matriz/interpolar/extrapolar/cálculo_integral/inverso/Expressão/fórmula/métrica/infinitesimal/extrapolação/arredondamento/equação/Calculo/Cálculo/cálculo/redondo/Polinômio/polinómio/polinômio/corpo/operação/cáculo/calcular/topologia/Topologia/divisível/combinatório/diferenciar/análise/análise_matemática/interpolação/integrar/simetria/função/assimetria/Álgebra/álgebra/Aritmética/aritmética/plano/Plano/Trigonometria/trigonometria/binómio/binômio/Invariante/invariância/comutativo/série
tecnologia	controlo_de_cheias/código-fonte
educação	Ministerio_da_Educação/pedagogia/Educação/ensino
ténis	game/serviço/Serviço
Aritmética	multiplicar/deduzir/dividir/subestimar/recalcular/elevar/cubar/adicionar/somar
crime	pagar/extorquir/traficar/chantagear/sequestrar/raptar/roubar/saltear/contrabandear/subornar/corromper/plagiar/piratear/resgatar/remir
BROADCAST	rede
Squash	serviço/Serviço
lenda	Midas/Santo_Graal/Barba_Azul/Santo_graal/Isolda
leilão	oferecer
hinduísmo	Kama_Sutra/Mahabharata/Ayurveda/Kama-sutra/Kama_sutra/Kamasutra/bhakti/mandala/nirvana/Casta/sânscrito/karma/Carma/guru/Ásana/asana
Igreja_Católica_Romana	Tomás_de_Aquino/pálio/irmã/monsenhor/breviário/Vulgata/Francisco_de_Assis/deão/paz/Irmão/Domingos_de_gusmão/Inácio_de_loyola/confissão/Imaculada_conceição/Thomas_Becket/cardeal/beatificação/indulgência/Monsenhor/Imaculada_Conceição/Domingos_de_Gusmão/Ostensório/Inácio_de_Loyola/Deão/ostensório/Francisco_de_assis/Thomas_becket/jubileu/missa/doutor/Doutor_da_Igreja/Doutor_da_igreja/bispo/novena/Colégio_Cardinalício/Colégio_dos_Cardeais/Colégio_dos_cardeais/Via_Crucis
transportação	online
poesia	lírico/dor/docemente/calma/versar/escuro/Erin/metrificar/versejar/rimar
cinema	filmar/sincronizar
auto	tracção/Tracção/alternador/túnel/passageiro/aluguel/Aluguel
futebol	final_da_taça/autogolo/ponteiro/beque/zagueiro/meio-campo/punter
Mitologia	difusão/Siegfried/Nibelungos/Brünnhild/mitologia
astrologia	Gêmeos/zodíaco/signo
eleição	contagem/pluralidade/maioria
sonífero	de_viva_voz/oralmente/potencializar
lago	litoral/ribanceira/orla/oceano/água
Retórica	tropical
arqueologia	civilização/cultura/Idade_da_Pedra/Idade_da_pedra/Idade_do_ferro/Idade_do_Ferro/Idade_do_Bronze/Idade_do_bronze/escavação
engenharia	controlo_de_cheias/código-fonte
Eletronica	pulsação/Ripple/analógico/transístor/tangência/dopar/rede/Modulação
tevê	legendado/televisionar/tv/televisor
didáctica	Ministerio_da_Educação/pedagogia/Educação/educação/ensino
aviação	aterrar/cruzar/sobrevoar/atravessar/pilotar/voar/planar
telegrafia	telegrafar
discurso	sincrônico/diacrônico/estilo/língua/linguagem/idioma/acento/sotaque
telecomunicações	conversor
produção	filmar/sincronizar
igreja	canonizar/exorcizar/crismar/redimir
ciências_aplicadas	controlo_de_cheias/código-fonte
medicina	apalpar/administrar/dispensar/remediar/vacinar/amputar/medicar/explorar/injetar/injectar/enfaixar/operar/sanar/sarar/curar/dopar/narcotizar/drogar/digitalizar
máquina	tracção/Tracção/alternador/túnel/passageiro/aluguel/Aluguel
espiritismo	ectoplasma
cultivo	produzir/gradar/amanhar/plantar/cultivar/semear/espalhar/estercar/lavrar
Justiça	prejudicar
transporte	online
ser	zigoto/verruga/olfato/rastreio/rastreamento/química_orgânica/celular/estrato/gregário/social/pastar/desossar/crescido/maior/adulto/microorganismo/microrganismo/domar/domesticar/corpo_humano/corpo/cadáver/rede/jovem/viabilidade
metalurgia	aviltar/rebaixar/opulento/rico
