meloeiro	(fruta)
sufismo	(misticismo)
gratidão	(sentimento emoção impressão)
retrocontagem	(enumeração conta contagem)
embobinar	(bolear)
chocolate_quente	(bebida)
maluquice	(estupidez)
Capelas	(igreja Lugares_de_prática_religiosa casadeoração templo)
Extensão_de_nome_de_ficheiro	(cadeia_de_caracteres)
caduceu	(insígnia)
Borrelia_burgdorferi	(espiroqueta Spirochaetes)
Língua_hereró	(Línguas_bantóides línguas_bantóides)
orzo	(Massas Massa_alimentícia Massas_alimentícias massa)
hemorragia	(inchaço traumatismo lesão mal dano ferimentos)
sal	(condimento composto_químico Compostos_químicos substância_química
     Composto_químico tempero aromatizantes)
Social_democracia	(ideologia)
kvas	(fermentação)
array_associativo	(vocabulário)
Scyphozoa	(espécies classe)
Chapéu_panamá	(chapéu sombreiro)
Perfluorcarboneto	(Gases_do_efeito_estufa gás_de_estufa gases_do_efeito_estufa
                   fluorocarbono)
vibrafone	(atmosfera Instrumentos_de_percussão aura Instrumento_de_percussão)
Veia_subclávia	(Veias veia)
biquerão	(carne_de_peixe peixe)
Senoide	(onda)
pastó	(Línguas_iranianas)
emperrar	(enguiçar)
Manteiga_de_amendoim	(pasta)
marimba	(Instrumentos_de_percussão Instrumento_de_percussão)
guardião	(protetor tutor defensor guarda)
ciclomotor	(moto mota motocicleta)
fuzil	(arma_de_fogo)
hipnoterapia	(Psicoterapia psicoterapia)
piroga	(canoa)
oxidação	(corrosão erosão reação_química Reações_químicas reacções_químicas
          Reação_Química)
acionista	(investidor)
gostar_muito	(gostar)
intriga	(complô conspiração)
DPOC	(enfisema ENFISEMA)
Kaon	(Méson Meson Mésons)
manar	(correr mexer mover deslocar fluir)
Travamento	(acidente azar)
Prótio	(átomo)
Flaw	(imperfeição defeito)
texto_acima_da_linha	(letra grafema)
pomo_de_Adão	(cartilagem tecido_cartilaginoso)
ausência	(tempo convulsão falta escassez deficiência intervalo
          intervalo_de_tempo carência necessidade)
liberto	(homem_livre)
cabinetelefônica	(cabine quiosque)
infração	(ofensa crime)
campismo	(locação lugar sítio)
nucleotídeo	(Ésteres éster)
anexo	(adição melhoria)
cansar-se	(indispor)
signo	(indício sugestão pista)
Tábula_rasa	(oportunidade chance)
indagação	(inquérito pergunta questão)
Oração_Subordinada	(cláusula oração)
primogênito	(descendência descendente filho)
primo_de_segundo_grau	(parente)
Manicuro	(cuidado assintência)
maria-chiquinha	(trança Nó_de_trança)
processo	(causa ocupação atividade procedimento_legal)
helianto	(flor)
numerário	(pagamento recompensa dinheiro moeda divisa cobre)
engano	(falsidade mentira insucesso falha)
Quark_b	(quark)
Safari	(expedição)
pintar	(maquilar representar criar fazer figurar maquiar cobrir revestir)
pau-rosado	(madeira)
bigorrilha	(assaltante agressor atacante)
Geometria_Não-Euclidiana	(geometria)
microonda	(onda_eletromagnética radiação_electromagnética
           radiação_eletromagnética)
turquesa	(minérios azul-petróleo azul chave matéria_mineral minerais mineral
          chave_inglesa)
Enterite	(inflamação)
deferência	(cortesia atitude)
Vitamina_B12	(complexo_B)
kickoff	(princípio decolagem começo início)
madeira	(materiais_de_construção Materiais_de_construção)
estruturar	(coordenar organizar)
descalcificar	(mudar remover retirar tirar alterar)
ingenuidade	(atributos qualidade)
engraxar	(cobrir tampar)
teia	(teia_de_aranha)
arrear	(anexar unir juntar)
Triangulo	(polígono)
acinzentar	(colorir descolorir)
associação_profissional	(associação união ordem sociedade organização)
corpo_celeste	(objeto_natural natureza)
posicionar-se	(estar ser)
análise_técnica	(análise)
esporófito	(flora planta vegetal)
magnetómetro	(contador metro)
buldózer	(tractor trator)
acalentar	(alterar amar mudar modificar)
Congresso_Continental	(congressos Congresso congresso)
Alfabeto_cirílico	(alfabeto)
Zoologia	(ciências_da_vida biologia)
separar_se	(separar partir dividir)
adiantar	(alterar mudar modificar)
arresto	(confiscação)
crise	(ataque)
Fibrilhação_ventricular	(arritmia fibrilação)
actividades_de_produção	(acção ação ato feito)
Processadores_de_texto	(aplicação aplicativo programa_aplicativo)
ensino_superior	(formação educação didáctica Educação instrução ensino
                 ensinamento)
advocar	(sugerir propor impelir urgir exortar)
Talk_Show	(emissão programa)
Lípidos	(macromolécula Macromolécula)
constructora	(materiais)
descontar	(trocar)
eletrocução	(homicídio assassinato morte)
bruxaria	(feitiço mágica magia ilusionismo taumaturgia Magia encanto
          Magia_Negra poder_mágico magia_negra)
ater	(enrolar perplexar confundir)
agregação	(suma)
cortisona	(Corticosteróide Corticosteroide)
fumo	(evaporação vapor erva maconha)
Naturismo	(hábito costume)
desbordar	(completar encher)
niqab	(véu)
engodar	(desencaminhar desafiar concitar provocar estimular incitar
         induzir_em_tentação seduzir)
tempo_de_viagem	(período etapa tempo)
kilobit	(unidade_de_memória_do_computador)
Heráldica	(naipe emblema)
Províncias	(domínio esfera)
disputa	(batalha Oratória resistência pugna peleja combate discórdia desacordo
         discordo discrepância discussão querela controvérsia discordância luta
         conflito)
plaminogênio	(plasmina)
banhe	(Natação natação nadada)
escadaria	(estrada via caminho)
Coven	(assembléia assembleia)
aceno	(inclinação Sinalização_telefônica sinal)
dessensibilizar	(alterar mudar modificar)
lente	(órgão)
bochechar	(lavar_se limpar lavar-se)
norueguesa	(europeu)
diáspora	(dispersão_(processos_físico-químicos))
minueto	(dança_de_salão Dance_music Dança_de_Salão)
massa	(conjunto mistura cimento pasta corpo dinheiro multidão
       materiais_de_construção montão turba reunião colecção ruma chusma
       coleção acúmulo aglomeração massa_de_pão agrupação grupo
       Materiais_de_construção divisa moeda)
machine_readable_text	(texto_electrónico)
Junção_PN	(tangência)
Esferoide	(forma_redonda)
caravana	(romaria procissão)
macroalga	(algas alga)
Nouvelle_Cuisine_Française	(cozinha culinária)
Palavra-valise	(neologismo)
Suítes	(jogo grupo)
pesquisa	(buscar Solução_de_problemas procurar Pesquisa inquérito investigação)
Vogais	(caracter letra caractér carácter)
comparecimento	(ação_em_grupo)
e	(caracter letra caractér carácter)
salto	(distância parte_inferior transição impulsão pulo propulsão fundo
       parte_de_baixo crescimento aumento Distância)
Mamalogia	(Zoologia zoologia)
Defense_advanced_research_projects_agency	(instituição_pública Governo
                                           agência_governamental agência
                                           escritório)
casa_de_banho	(vaso_sanitário privada vaso quarto banheiro câmara aposento sala)
trilar	(pronunciar falar dizer)
quebra-cabeça	NIL
desertar	(partir abandonar ir retirar-se sair)
infetar	(sujar poluir contaminar)
noção	(opinião ideia pensamento idéia concepção conceito
       característica_psicológica)
penalização	(controle_social)
Páscoa_judaica	(Páscoa Pessach Festa_móvel)
manter_presente	(pensar lembrar)
ejeção	(propulsão impulsão)
indigo	(corantes_têxteis corante tintura Corantes cor)
ubiqüidade	(presença)
Guernsey	(Ilhas_do_canal Ilhas_do_Canal)
Caixa_de_música	(instrumento instrumento_musical)
clorito	(minérios matéria_mineral minerais mineral)
delícia	(ocupação atividade)
engravidar	(tornar fertilizar revoltar-se revoltar inseminar fecundar)
empregado_doméstico	(trabalhador)
Metanfetaminas	(Anfetaminas anfetamina)
22_de_fevereiro	(dia)
crinolina	(pano têxteis fazenda tecido tecido_têxtil)
filho	(menino descendência parente descendente infante garoto rapaz moço
       criança)
vila	(comunidade região divisão_administrativa município divisão_territorial
      distrito_administrativo área_geográfica região_geográfica localidade
      Comunidade)
maestro	(gestão Musico Músico músico administração)
Língua_ubykh	(Línguas_caucasianas)
capitalista	(conservador alma indivíduo ser_humano alguém pessoa)
Caleidoscopio	(Brinquedos brinquedo)
rato-do-deserto	(roedores roedor)
canetaesferográfica	(caneta-tinteiro caneta_esferográfica caneta)
mistureba	(mistura encepamento)
afectar	(atuar alterar mudar modificar agir fazer)
episteme	(conhecimento noção cognição compreensão)
alternativa	(Tomada_de_decisões processo_de_decisão tomada_de_decisão)
clavícula	(osso)
sabedoria	(objecto_mental feição habilidade instrução peculiaridade educação)
flauta_irlandesa	(flauta_doce)
tribunal_de_justiça	(juizado tribunal assembléia assembleia)
Ilha_de_Wight	(Condados_do_Reino_Unido condado)
rascunho	(texto)
Cardiologia_Intervencionista	(Fisiologia fisiologia)
vértice	(extremos extremo)
Federalismo	(ideologia)
programador	(engenheiro)
Artéria_angular	(artéria Artérias Arteria Artéria)
ciclo	(repetição Programa_de_Computador tempo programa_de_computador programas
       programa intervalo intervalo_de_tempo)
fermentar	(imbuir estar_enraivecido estar_furioso)
abrasivo	(materiais)
desenrolar	(deslocar desfazer mover)
vislumbrar	(enxergar observar mirar ver olhar)
borrego	(vianda carne)
encrustar	(ornar decorar adornar ornamentar empetecar embelezar enfeitar)
rede_de_esgoto	(escoadouro)
indústria_petrolífera	(empresa_industrial indústria)
baioneta	(coitelo faca)
molar	(dente Dentes)
Scriptorium	(quarto câmara aposento sala)
solstício	(tempo_cósmico)
nitrato_de_potássio	(Nitratos nitrato nitratos azotato)
empurrar_com_a_barriga	(adiar)
vagarosidade	(passo ritmo)
capitão-de-mar-e-guerra	(capitão)
dialética	(filosofia)
zoroastrismo	(religião Crença_religiosa fé)
operário	(insecto plebeu insetos hemípteros inseto Insectos obreiro trabalhador
          assalariado empregado)
Papua	(região)
barricar	(tapar entupir trancar obstruir barrar ocluir)
horticultura	(pecuária cultivo agricultura)
Sombra	(perseguidor)
Síndrome_de_reye	(encefalopatia Encefalopatia síndrome síndroma)
Nervo_troclear	(Nervos_cranianos Nervo_craniano)
dinossáurio	(arcossauros)
relance	(olhar olhada)
decalque	(expressão locução provérbio ditado idioma)
anais	(jornal crônica crónica revista)
perilinfa	(Fluidos_corporais)
organização	(ocupação comunidade início começo atividade grupos_sociais
             gerenciamento administração gestão conjunto agrupação grupo)
congelar	(reter sofrer gelar solidificar suspender conter padecer tornar
          revoltar-se revoltar modificar interromper mudar alterar)
controlo	(ocupação atividade)
acessória	(associado)
utilitarismo	(doutrina_(direito) doutrina filosofia)
ambiguidade	(expressão locução provérbio ditado idioma)
jornal	(imprensa jornalismo publicação_periódica revista periódico folha Jornal
        papel_de_periódico publicação edição)
projeto	(opinião ideia conceito pensamento idéia tarefa trabalho plano intenção
         projecto planos programa programação traçado concepção)
Virga	(precipitação precipitação_atmosférica)
delirar	(aperceber-se entender aperceber perceber)
agricultor	(fazendeiro creador criador)
língua_eslava	(Línguas_balto-eslávicas)
lantânio	(metal Metais metais)
mestrado	(Grau_acadêmico Grau_académico Graus_académicos)
casadeoração	(prédio edifício)
Serpentes	(Diapsida)
rissole	(prato)
Estomago	(víscera)
trado	(furadeira)
balcanizar	(repartir separar dividir fracionar)
trilobita	(Artropode artrópodes artrópode)
reprodução	(cópia figura ilustração desenho imagem afiguração representação
            processos_biológicos sexo transa acto_de_copiar)
Serra_de_arco	(serrote)
supermodelo	(modelo manequim)
seda	(pano têxteis fazenda tecido tecido_têxtil)
zagaia	(lança)
Desenvolvimento_psicossexual	(ontogénese ontogenia crescimento)
citoplasma	(Proto-Plasma Proto-plasma protoplasma)
Nidificação	(fazerseuninho ninho)
verbosidade	(estilo língua discurso linguagem)
Fotoquímica	(química Quimica)
reconsideração	(adição melhoria)
dispor	(vender gastar colocar influenciar moldar determinar arranjar
        providenciar botar carregar pôr despender)
exclamação	(Figuras_de_linguagem figura_linguagem expressão enunciado)
arranco	(impulso empurrão impulsão forca)
sistema_social	(sistema organização)
indignação	(raiva ira cólera zanga)
Bacillus_subtilis	(bacilo)
esquife	(caixa)
capricho	(anseio apetite pretensão desejo)
gravar_em_fita_de_vídeo	(registrar registar)
ligar_se	(relacionar relacionar-se)
parâmetro_de_referência	(referência)
acelga	(vegetal beterraba)
quinquênio	(período etapa tempo)
estereotipar	(classificar)
Juiz_de_Paz	(magistrado)
malbaratar	(despender gastar)
balackava	(quepe boné barrete)
boqueirão	(vão fenda)
abundar_em	(estar ser)
Garnierita	(minérios matéria_mineral minerais mineral)
bérberis	(arbustos arbusto moita mato arvoreta)
enxugar	(tomar consumir limpar esfregar formar alterar mudar modificar beber)
demonstrar	(evidenciar transmitir mostrar apresentar atestar ressaltar
            confirmar corroborar sustentar substanciar provar suportar)
tendências	(sabor)
Fluido_refrigerante	(substância)
bioclimatologia	(climatologia Climatologia)
pisco_de_peito_ruivo	(tordo sabiá)
Xhosa	(africano)
recado	(excursão)
mastro_de_ré	(mastro)
doxologia	(hino)
aguara_guazu	(loba lobo)
gazela-persa	(gazela)
Anfôra	(vasilha garrafa)
telecinésia	(pesquisa_psi parapsicologia)
enfadar	(molestar importunar irritar assediar aborrecer incomodar provocar)
fatorial	(produtos produto)
Polychaeta	(anelídeo Anelídeos anelídeos)
proteger	(garantir defender)
dízima_periódica	(decimal)
accelerando	(andamento)
Catecumenato	(aluno pupilo estudante)
Bandas_sonoras	(Gravação_e_reprodução_sonora)
ocelote	(gato-bravo)
ovação	(reconhecimento aplauso aprovação crédito)
múmia	(cadáver restos_mortais morto defunto corpo)
catalão	(línguas_românicas espanhola língua_românica românica espanhol)
Hidronefrose	(doença patologia)
esvair	(finalizar terminar encerrar parar acabar cessar)
pasto	(forragem erva maconha forragens forragem_animal prados_naturais prado
       pradaria)
encerramento	(conclusão termino)
ressonância_magnética	(Tomografia)
druidismo	(paganismo Paganismo)
cadeira	(alfaia posto região_de_espaço assento cargo posição apoio suporte
         encosto mobiliário movéis mobília móvel)
algodão_carvado_e_comprido_em_camadas_moles	(materiais)
Família_Medici	(casa)
Reprodução_Assexuada	(reprodução_(biologia) reprodução)
manteiga_de_cacau	(chocolate pomada ungüento reboco)
senescência_celular	(velhice)
humilhação	(degradação)
galhada	(corno chifre)
azulejar	(cobrir tampar)
hidráulica	(mecânica Mecânica)
Gêmeos	(alma irmã irmão indivíduo ser_humano alguém pessoa)
engenheiro_naval	(engenheiro)
paxá	(chefia autoridade)
reler	(ler)
paleontologista	(cientista)
pagar_antecipadamente	(pagar)
esforço	(empenho mão-de-obra trabalho tarefa projeto tentativa ocupação
         atividade)
eletrificar	(agitar adequar completar excitar encher ajustar adaptar)
digestão	(processos_biológicos)
Quasares	(estrela astro corpo_celeste)
fraquejar	(vacilar duvidar hesitar stötön gaguejar)
Shogi	(xadrez)
secundário	(coisa)
terrorismo	(coacção)
império	(monarquia empresas governo corporação regime domínio)
açúcar_de_milho	(glucose glicose Glicose)
computador	(maquinaria máquina)
facção	(camarilha)
Reduto	(baluarte fortaleza)
lisozima	(Enzimas enzimas enzima)
rezar	(comungar)
filme	(objeto_físico Papel_fotográfico objeto produção produto bens espectáculo
       show)
manifestar	(surgir transmitir mostrar apresentar provar atestar aparecer)
diátese	(sensibilidade)
Francófilo	(seguidor)
barragem	(discurso língua idioma linguagem obstáculo barreira)
Coagulação_Sanguínea	(grupo bola torrão)
dolo	(Planejamento planeamento planejamento)
aranha-alho	(aracnídeos Aracnideos aracnídeo)
Triptofano	(aminoácido_essencial)
véu	(vestuário roupa)
Promoção_de_vendas	(publicidade promoção anúncio propaganda)
concunhado	(cunhado consogro)
Mohair	(pano têxteis fazenda tecido tecido_têxtil)
raios_gama	(onda_eletromagnética radiação_electromagnética
            radiação_eletromagnética)
Sciuridae	(peles pele)
licença_médica	(licença)
mala	(compartimento caixa bagagem Bagagens embrulho)
pisar_na_bola	(violar ofender pecar quebrar infringir transgredir)
evangelismo	(pregação prédica sermão)
fazer_entrevista	(conversar)
salitre	(Nitratos nitrato nitratos azotato)
Talio	(metal Metais metais)
embainhar	(bordar)
alizarina	(rubra vermelhidão vermelho rubro escarlate encarnado)
arquipélago	(terra chão solo relevo relevo_(geografia) terra_firme)
Teorias_científicas	(teoria)
luminescência	(luz)
antimatéria	(matéria substância)
KI	(vitalidade energia)
disfunção_alimentar	(doença bagunça transtorno distúrbio)
Diamêtro	(recta reta)
discriminação	(controle_social)
Mercado_Futuro	(Derivativos derivativo)
desarranjar	(enlouquecer)
constipação	(doenças_respiratórias Doenças_respiratórias)
interjeição	(exclamação interrupção pausa)
estômago	(Anatomia víscera parte_do_corpo)
sacrificar	(matar)
carregar	(impulsionar colocar alterar encaixotar apresenta levar tocar
          propulsar botar pôr dispõe transportar mudar modificar suprir
          fornecer prover abastecer deslocar mover completar encher)
mainel	(banda)
canguru	(marsupiais Marsupialia Marsupiais)
metilfenidato	(estimulante Estimulantes)
azar	(infortúnio fenómeno fenômeno ensejo sorte problema sina destino
      circunstâncias má_sorte acidente)
percebe	(crustáceo crustáceos)
prematuridade	(imaturidade)
vento_catabático	(vento)
meridiano	(círculo_máximo)
semicolcheia	(nota tom)
bovinos_para_abate	(vacum gado bovinos gado_bovino vaca)
quepe	(boné barrete Chapéus chapéu)
folha_de_trabalho	(papel folha folhas folha_de_papel)
máxima	(expressão locução provérbio ditado idioma)
inquisição	(interrogatório)
sermão	(bronca discurso)
medalha	(prêmio galardão Prémio Prêmios prémio)
bordel	(prédio edifício)
robótica	(inteligência_artificial IA)
Feng_Shui	(princípio regra)
Optometria	(prática)
ovulação	(processos_biológicos)
pronome_pessoal_do_caso_reto	(pronome)
língua_chinesa	(Línguas_siníticas)
céu	(região superfície atmosfera ar)
Nível	(indicadores)
hora_do_show	(momento instante)
estilizar	(redigir provocar escrever criar realizar construir causar)
arando	(fruta fruto baga)
cicatrizar	(melhorar)
artifício	(obstáculo engano desvantagem)
computador_portátil	(Computador_Pessoal Computadores_pessoais microcomputadores
                     PC computador_pessoal Computador_portátil)
piolho	(sem-vergonha insecto insetos hemípteros inseto Insectos)
Placa_bimetal	(materiais)
arquitectura_paisagista	(arquitectura arquitetura)
luz_da_lua	(luz)
pedal_do_acelerador	(pedal)
Gurkha	(soldado militar)
aleive	(Atos_da_fala acto_de_fala)
finura	(amor afeição apego)
costeleta	(rodela)
Buraco_Negro	(região)
conotar	(mostrar expressar)
contagem_de_esperma	(conta contagem)
classificação	(operação agrupamento arranjo)
voz	(mensagem cantador propriedades_acústicas cantor cantora vocalista som
     comunicação Voz_humana voz_humana)
samário	(metal Metais metais)
Sérvios	(eslavo)
Prado	(prados_naturais prado pradaria)
requerer	(exigir solicitar demandar estar ser comunicar transmitir requisitar
          pedir)
ambulância	(veículo auto viatura automóvel máquina carro)
comunicar	(informar interagir enviar)
Nitrato_de_potassio	(Nitratos nitrato nitratos azotato)
caldeira	(vasilhame vasilha vaso)
luz_solar	(luz)
cingalês	(sânscrito asiático asiática asiano língua_sânscrita)
risotto	(prato)
algas_verdes	(algas alga)
Paleobiologia	(Paleontologia paleontologia ciências_da_vida biologia)
Estação_Espacial	(satélite satélites satélite_artificial Satélites)
vale	(depressão baixada)
White_russian	(cocktail coquetel)
detritos_residuais	(Resíduos resíduos Resíduo resíduos_sólidos)
Movimento_Internacional_da_Cruz_Vermelha_e_do_Crescente_Vermelho	(ONG)
artiodátilos	(ungulados)
sultão	(governador governante)
Abril	(mês_no_calendário_gregoriano)
especialista	(intelectual intelecto)
exultar	(intoxicar elevar alegrar regozijar regozijar-se animar animar-se
         alegrar-se)
grelha	(estrutura ripa sarrafo infra)
Jogos_Píticos	(agon)
IECA	(anti-hipertensivo)
fumar	(acender tomar consumir)
Baladas	(poema poesia)
Vanir	(Deuses_nórdicos Panteão_nórdico)
aromatizantes	(produtos_alimentares ingrediente)
Dândi	(varão macho homem)
microondas	(onda_eletromagnética radiação_electromagnética
            radiação_eletromagnética)
cravista	(tocador instrumentista instrumentalista músico)
invasão	(delito ataque transgressão)
desânimo	(desespero)
dançarino	(intérprete)
Icon	(símbolo Simbolo Símbolos aceno emblema sinal)
Hospitais_psiquiátricos	(enfermaria hospital)
megalópole	(zona_urbana áreas_urbanas região_urbana área_urbana)
hordéolo	(infecção infeção)
Pomar	(jardim horto)
crisma	(sacramento prova confirmação)
i	(caracter letra caractér carácter)
alofone	(fonema)
obter	(realizar mudar existir conseguir suceder ser_bem_sucedido adquirir
       receber comprar atingir efetuar chegar_a efectuar alterar ser)
Vitis_vinifera	(videira)
emblema	(símbolo ornamento Sinalização_telefônica sinal)
línguas_songai	(Línguas_nilo-saarianas)
charamela	(oboé)
Aconselhamento_genético	(direção conselho aconselhamento)
Fósseis	(resto)
Laticínios	(produtos_alimentares alimento)
sindicatos	(organização)
elogiador	(orador interveniente discursante retor)
solar	(casa edifício_residencial habitação vivenda)
ervas	(erva maconha)
Perfusão	(inserção introdução)
leucemia	(câncer Câncro cancro)
verbificar	(alterar mudar modificar)
Polímeros	(composto_químico Compostos_químicos substância_química
           Composto_químico)
derivada_parcial	(derivada)
modelação	(talha representação escultura)
tectónica	(geomorfologia morfologia Geomorfologia)
níveis_de_potássio_baixos_no_sangue	(sintoma)
ressonância	(oscilação vibrações Vibração vibração)
linha_central	(reta)
cágado	(tartaruga testudinata)
Metafísica	(filosofia)
frasco	(vasilhame vasilha vaso botelha garrafa biberão Garrafa)
direito_administrativo	(lei jurisprudência ciências_jurídicas)
grade_levadiça	(porta portão)
motorista	(chofer operador manipulador condutor conductor)
toronja	(citrino)
chupador	(alcoolatra)
nimbo	(nuvem Nuvens nuvens)
Escapo	(caule tronco)
antagonista	(alma indivíduo ser_humano alguém pessoa)
necrópole	(locação lugar sítio)
Grandes_festas_no_judaísmo	(festas_judaicas)
perturbar	(excitar atuar disturbar deslocar mover agitar elicitar provocar
           incitar estimular concitar desgostar desagradar impressionar comover
           afetar agir fazer confundir)
charada	(verbo palavra termo vocábulo questão problema)
lei_de_Dalton	(lei)
eventualidade	(território_dependente ocorrência evento acontecimento
               dependência)
Lamas	(clérigo padre sacerdote Padres_da_Igreja_Católica)
celesta	(Instrumentos_com_teclas instrumento_de_teclas)
canudo	(cano canal duto ducto chaminés_de_fábrica condutas conduto tubo
        pipeline cachimbo canais)
Heterotrofismo	(criatura organismo ser)
internet	(rede Rede_de_Computadores rede_de_computadores)
Capilaridade	(tensão_superficial)
auxiliar	(levar servente ajudante servidor assistente adjunto criado trabalhar
          conduzir guiar dirigir carregar apoiar ajudar)
manter_distância	(estar)
blástula	(embriões embrião)
jogador	(participante Desportistas atleta contendor alma indivíduo ser_humano
         alguém pessoa)
Uranio	(metal Metais metais)
asseio	(limpeza peculiaridade feição)
desassociar__se	(declarar_falso contradizer negar)
ano-novo	(conclusão término fim cabo)
soçobrar	(virar derrubar)
língua_de_sinais	(discurso língua idioma linguagem)
comprometer	(arriscar referir relacionar concernir utilizar usar empregar
             afetar impactar)
Febre_tifoide	(doenças_infecto-contagiosas doença_infecciosa)
regresso	(chegada vinda deslocamento movimento traslado)
contrato	(oferta acordo negócio_jurídico pacto licitação)
norma	(critério padrões instrução código_de_conduta ideia idéia concepção
       conceito)
Veia_cefálica	(Veias veia)
Fenacetina	(analgésico Analgésicos)
utensílio	(unidade todo implemento instrumento ferramenta)
década_de_1970	(decênio década)
último	(classe ocupação hierarquia posição posto atividade)
Wishful_Thinking	(ilusão fantasia)
Natal	(tempo festividade feriado_nacional temporada estação)
zinco	(metal Metais metais)
Aëdes_aegypti	(Culicidae mosquito)
Africânder	(sul-africano)
noz-de-cola	(fruta noz Noz)
tamargueira	(arbustos arbusto moita mato arvoreta)
binómio	(quantidade número soma)
Citóstoma	(boca)
Árbitros_de_futebol	(árbitro juiz)
flerte	(brincadeira)
aracnídeos	(Artropode artrópodes artrópode)
planilha_eletrônica	(Programa_de_Computador programa_de_computador programas
                     programa)
Mercúrio	(metal Metais metais)
marketing	(compras venda procura mercantilismo comercialismo comércio)
subversão	(deitarporterra)
365_dias	(ano)
linha_de_telefone	(ligação conector)
quezília	(aversão)
coprólito	(fezes cocô porcaria excremento merda esterco matéria_fecal bosta)
Trato_respiratório_inferior	(trato_respiratório vias_respiratórias)
Línguas_mon-khmer	(línguas_austro-asiáticas Línguas_austro-asiáticas)
transportes_públicos	(veículo meios_de_transporte modo_de_transporte)
estourar	(explodir condenar morrer separar arrebentar dividir desmoronar)
Cephalochordata	(filo Filo)
beterraba	(hortaliça legume Hortaliças vegetal Raízes_e_tubérculos_comestíveis)
vício	(desejo_veemente anseio desejo_imoderado desejo_intenso desejo_ardente
       desejo_forte desejo_em_alto_grau)
enurese	(incontinência_urinária incontinência enuresia Incontinência_Urinária)
Direito_Divino_dos_Reis	(doutrina_(direito) doutrina filosofia)
fanfarra	(melodia toada)
tricolor	(pendão Bandeira bandeira pavilhão estandarte)
Gamao	(jogo_de_tabuleiro)
triptófano	(aminoácido_essencial)
triângulo	(forma_geométrica Instrumentos_de_percussão formato forma polígono
           Instrumento_de_percussão)
rastrear	(observar)
Plectro	(ferramenta aparelho aparato mecanismo instrumento dispositivo
         equipamento)
palheta	(Madeiras ferramenta aparelho aparato mecanismo instrumento dispositivo
         equipamento)
Osso_hióide	(osso)
subscrição	(pacto acordo aliança aprovação consenso conformidade)
Línguas_germânicas_orientais	(Línguas_germânicas línguas_germânicas)
Antiemético	(droga_medicional droga_medicinal remédio medicamento
             produtos_farmacêuticos)
oculto	(causador)
excreção	(expulsão Resíduos resíduos Resíduo resíduos_sólidos)
carpir	(emitir soltar)
letreiro	(anúncio edifício tecido estrutura)
efeito	(fim fenômeno fenómeno conseqüência resultado efeitos causalidade)
Azaléa	(rododentro)
ângulo_sólido	(Ângulos ângulo)
edificação	(esclarecimento)
lado	(superfície fronteira faceta)
raça_superior	(linhagem raças_humanas povo raça)
Baixo-saxão	(Línguas_germânicas_ocidentais línguas_germânicas_ocidentais)
Sociedade_gestora_de_participações_sociais	(empresas companhia)
Cruz_céltica	(cruz)
Jihad	(esforço)
descentralizar	(alterar mudar modificar)
kimberlito	(Peridotito)
amparar	(suprir fornecer prover abastecer)
tocar_mal	(executar retocar tocar)
gato_siamês	(gato_doméstico)
câncer_de_pulmão	(carcinoma)
juízo_de_valor	(julgamento critica juízo)
folha_de_louro	(erva)
assentir	(transmitir comunicar consentir concordar)
negociação	(discussão negócio debate)
umbigo	(centro ponto_médio lugar)
botanista	(biólogo biologista)
Célula_beta	(célula)
saltério	(instrumento_de_cordas)
órbita	(itinerários percurso estrada itinerário caminho rota linha)
metrologia	(ciência)
hipotecar	(dever)
proto-indo-europeu	(línguas_indo-europeias Línguas_indo-européias)
Roubo_de_carro	(roubar rapto roubo)
canonização	(santificação)
Yom_Kipur	(Grandes_festas_no_judaísmo Ta'anit)
prejulgar	(balizar influenciar influir julgar avaliar)
descompactar	(ajustar corrigir acertar)
esguichar	(fluir correr)
Contrail	(nuvem Nuvens nuvens)
socar	(surrar acertar golpear bater)
desanexar	(separar dividir)
aditamento	(artigo cláusula)
cerca_viva	(estacada paliçada cerca barreira)
ponto_de_vista	(atitude posição postura)
deficit	(deficiência carência)
Acupuntura	(tratamento)
Citomegalovirus	(herpes)
roupa	(bens_de_consumo cobertura capa vestido traje vestimenta vestuário)
Jardim_do_Éden	(céu Céu)
janota	(varão macho homem)
pistoleiro	(homicida assassina assassino)
Bancos_do_Japão	(Banco_Central banco_central)
Aparelho_vestibular	(Sistema_sensorial)
fumante	(consumidor)
direcionar	(advertir destinar reger governar situar posicionar mirar apontar)
marina	(doca)
Coq_au_vin	(prato)
Redneck	(caipira)
arca	(caixa)
fazer_discurso	(verbalizar falar dizer conversar proferir)
acrónimo	(forma_flexionada)
estreitar	(modificar mudar alterar)
ônus_da_prova	(responsabilidade dever)
leite	(produtos_alimentares lacticínio Lacticínios laticínio Laticínios
       produto_lácteo bebida Fluidos_corporais pão nutrientes alimentação
       alimento nutrição comida)
picnic	(feria férias sueto féria dia_de_folga)
previsão_do_tempo	(prognóstico previsão predição)
Eflorescência	(cristalização)
Iconografia	(imagem Ícone desenho figura fotografia ilustração ícone)
Assiriologia	(arqueologia Arqueologia)
mundialização	(ação_em_grupo)
seleção_natural	(atividade)
passagem	(movimento parte estrada capítulo seção converter mudança_de_estado
          viela corredor galeria)
nepali	(asiático asiática asiano)
pré-condição	(pressuposto)
desgraça	(vergonha desonra)
Azidas	(composto_químico Compostos_químicos substância_química Composto_químico)
epilepsia	(encefalopatia Encefalopatia)
